BRW,ORTST,WKT
220,Sprakel,"POLYGON ((7.612809769306364 52.041193846833224,7.6133257186301915 52.04116705641114,7.613655588922711 52.04122205255434,7.613925257784497 52.04130920180219,7.614884385487861 52.03996952523448,7.615156189645551 52.03960394518857,7.617346284742927 52.04030063463344,7.6173490281295075 52.040301507536704,7.617349039111574 52.04030157690037,7.618171646953575 52.04058284030426,7.619484604386756 52.04102478922279,7.619505833753464 52.04090408392958,7.619505810323693 52.040906122034606,7.619823930138938 52.04091703148913,7.620073962034041 52.04074273628388,7.620371631451035 52.04040853826881,7.620460052247409 52.03904927300903,7.620548526621061 52.03773968985004,7.620530285101294 52.03773947626587,7.620622117227529 52.03653362967587,7.621268093237505 52.03659182598017,7.621283351430018 52.03639225762558,7.621415314647436 52.0347705061633,7.621282062584313 52.03465360071086,7.620819579762066 52.03382107129542,7.620605191396158 52.03342062910695,7.6202555922422865 52.03260512348239,7.618628663515968 52.03280241632588,7.618171953610137 52.03280688718023,7.615484362936214 52.03284739748328,7.61210113640915 52.03289275764105,7.612645567168315 52.0345664212306,7.613282365804112 52.034362893240576,7.6135435083142085 52.034681689528725,7.6134892724399235 52.03469892643427,7.613652111621281 52.03550437373974,7.613712065054036 52.036584396826626,7.613763623712787 52.037509342746354,7.612900568280118 52.038175830355364,7.612901275075342 52.0381761237086,7.612866990737679 52.03820172988107,7.612127402882658 52.03875410622821,7.611874691547113 52.03907608951314,7.611846951074123 52.039207206369234,7.611326737850607 52.03994592681469,7.610523391681457 52.041031825971,7.611407824481636 52.041725023549986,7.611964784547377 52.04132994898788,7.612197876352798 52.04125966918992,7.612809769306364 52.041193846833224))"
220,Nienberge,"POLYGON ((7.562504423557677 52.01864801681414,7.561969446885157 52.01839203351929,7.5609502140778195 52.01828399363038,7.56084700490972 52.01844207223001,7.560514213083068 52.01851130548382,7.559942790481985 52.01861267902193,7.560241791942843 52.019113468779274,7.560681028747287 52.01991234121167,7.560880050981829 52.02030993180859,7.559142823544694 52.0200401451873,7.5591563604455985 52.02042272415369,7.559957650899827 52.02056317258682,7.560258046339392 52.02118188973827,7.560746324014254 52.0212579615263,7.560973105822604 52.021273476882,7.560934357327415 52.021515200664595,7.560601342496601 52.02223453399356,7.560424248521048 52.022280172892714,7.560709628265483 52.022723433481886,7.560880896617705 52.02285936967922,7.560945981343201 52.022923900018384,7.560938772930431 52.02298754718244,7.560500635038912 52.024084824125886,7.562158434727514 52.02474241014596,7.561964989831479 52.02529773607372,7.562811581943812 52.025639483857724,7.562880797155568 52.02541406715411,7.562926480069193 52.024955728045946,7.562934338737794 52.02471044212321,7.563544958718165 52.024838981370046,7.563572755298792 52.02461624491112,7.563669171520811 52.024509069023345,7.563677090782383 52.024423123120386,7.563734403228648 52.02440788699317,7.564052416015684 52.02447868394109,7.565227490384526 52.02472562551549,7.565307153927278 52.02433462122878,7.564844857879757 52.02425251187401,7.564325152563001 52.02418882168152,7.563645370546408 52.024123179237975,7.562915195553962 52.024340542119674,7.5626010910438906 52.023664302200096,7.563074457861245 52.02356172220475,7.564144530956472 52.02369904415228,7.5643535649778935 52.02346258244247,7.564441484520726 52.02329794132313,7.564622009594988 52.02330651352041,7.5648388842740655 52.02330915325318,7.566262764827162 52.02320538237305,7.566208599438318 52.02263747785362,7.5647798447869725 52.02289415381784,7.564395981081176 52.02213740032236,7.564181940105749 52.021723697980725,7.564072871681759 52.02153375872576,7.563444274246602 52.02169240329936,7.563076972795378 52.02122584369053,7.562495241841233 52.02116457610867,7.562519860987538 52.02071872720395,7.562539581790078 52.02042578288673,7.5619992674300045 52.020361831568756,7.561890475785966 52.020210724747706,7.561881829348541 52.019997105254134,7.561561073751324 52.019368581888195,7.562280733222832 52.01883242115971,7.562504423557677 52.01864801681414))"
220,Gelmer,"POLYGON ((7.6780198918465254 52.026295514151236,7.677918583743219 52.02679015671176,7.677623108899273 52.0267716231452,7.6765364186098415 52.026675724386145,7.6769038592617225 52.02620558799686,7.67625575429471 52.026155192052315,7.6743276642332745 52.02601177037273,7.673946369606792 52.02653246845754,7.673389308867654 52.026183812002984,7.672485452484009 52.02561634038169,7.670053582508111 52.024075039792145,7.668861626427413 52.025915682470384,7.668526629122042 52.02770181847529,7.66835806707277 52.027671630452495,7.668477054919812 52.02795702687779,7.668592740079341 52.02793804324156,7.668827514410505 52.0284783648232,7.668753079882796 52.02849274273636,7.668845857106963 52.028691611342126,7.66911231717354 52.02927286982647,7.6691866760955 52.0292610291295,7.669248605534115 52.02939107323219,7.670059263616098 52.029646231411704,7.671029555749309 52.02992601067879,7.671975349406343 52.03020043452109,7.67459202563485 52.03098060317858,7.67440001468027 52.031216845080145,7.674975168924969 52.03137294813914,7.675051163630596 52.03158430626029,7.675495386012649 52.03171864485033,7.676649781023017 52.03063852024416,7.6768967039981995 52.03063114856044,7.677236298828871 52.03026975008843,7.6771261423657124 52.03024061529512,7.677745081191027 52.029468955310705,7.677771326851835 52.029479194474334,7.678176326809807 52.02908685661944,7.678062763521854 52.02901347059132,7.678088096774068 52.02899092905114,7.677748740568978 52.02878676322055,7.678037050016006 52.02863021725606,7.678281271406867 52.02857462518781,7.678536552303385 52.02856227178299,7.67857913279808 52.0279540657257,7.678685388389702 52.027557078182134,7.678798747490523 52.02733770187095,7.6790838251975515 52.02701119584307,7.679320399358276 52.02665624746506,7.679372467129413 52.026284014076964,7.678737765276439 52.02633678325139,7.6780198918465254 52.026295514151236))"
340,Nienberge,"POLYGON ((7.552618836890074 51.99936315131947,7.552865734035135 52.00012162872921,7.553055715370501 52.00013821471998,7.553704614243965 52.00078403204349,7.554469212050782 52.000526153051766,7.555860840459286 52.00015835856685,7.556453596668088 52.00003733531719,7.5569726861643645 52.00023255266041,7.558512392314281 52.000646935898374,7.5594025630943085 52.00079323103194,7.559110528981317 52.00107830018643,7.559483254391298 52.00115768896272,7.560000604719011 52.00122815386252,7.561545682799694 52.00129691333437,7.561511900414555 52.001089820685074,7.561300511519396 52.00065962765512,7.561394216263674 52.00061800984115,7.560883079847698 52.00017346586197,7.560568864634823 52.000069851088455,7.560838036766093 51.99953815044301,7.560559168799462 51.99947107078838,7.560688412151466 51.999401380782665,7.561008142530284 51.9991522818254,7.561729432782325 51.99952456176208,7.561864102796035 51.9994656278083,7.562036703514771 51.99930381498231,7.562239144111119 51.99929203207657,7.5626510480505855 51.99922935276739,7.562932723738089 51.999086687621684,7.563202099561362 51.998787080897046,7.563650070183179 51.9983186101198,7.563401395702404 51.99815166297531,7.56332163140101 51.99811861948053,7.562809371499638 51.99770970741768,7.56378246651288 51.99724763954755,7.564486493779589 51.99779785711772,7.565553384391596 51.99729059388803,7.565180710608185 51.99702949112279,7.564975322184264 51.99713389120804,7.564749355375305 51.99695689126229,7.564353228031174 51.99654904230582,7.56474589123785 51.996364964216646,7.5647585309814005 51.99596957852141,7.564859507889806 51.99565988968336,7.564438943685841 51.99530024222906,7.564189004984956 51.99537200490051,7.563781924773436 51.99509889499506,7.5633649054530085 51.994961964986885,7.563298280848411 51.99487919426155,7.563106306615662 51.99474500851006,7.5629187365011585 51.99465363506301,7.563227927110141 51.99422881797943,7.562708337839285 51.993911029579245,7.561028977877313 51.99325198964911,7.561389537814314 51.99283545322172,7.560920388821338 51.99270500523685,7.560599550279014 51.992629819072874,7.560563798677383 51.99259929332289,7.559448009329714 51.99232931134017,7.559719117320918 51.991877533583015,7.559163517947861 51.99174400794637,7.5590730093793805 51.991947404978674,7.558915726471192 51.992196068880986,7.557877859530593 51.991970230320355,7.557855835064256 51.991929636628356,7.556299207907691 51.99144108613616,7.5555510794089225 51.991201492032744,7.5562609388928585 51.99059955960877,7.556225479726876 51.99054151891642,7.556117936751581 51.99054884228512,7.555889415471181 51.990546042002784,7.555690542494876 51.990491758983296,7.555298665905846 51.99034581995608,7.55519223395744 51.99031859215997,7.554996915172558 51.99029891551215,7.554291774075954 51.99031907124217,7.5538482599179835 51.99032803121012,7.55329859761053 51.99030112339107,7.553100960907001 51.990353423958446,7.552981772509726 51.9904326102214,7.552890100130022 51.99052653554005,7.552864926163491 51.990583833085054,7.55241115568297 51.99062146551439,7.552303564813723 51.99034075123469,7.5519379437740275 51.99039386649211,7.551632298630161 51.990467880283354,7.551449300757782 51.990500195220754,7.55101492924579 51.99051501884396,7.5507342725989 51.99053749093011,7.550392058556242 51.99058800942808,7.549757164590358 51.99074437854503,7.549283065112751 51.990833595436584,7.548903631708978 51.990880771087745,7.548336251566356 51.9909688365306,7.548096354961827 51.991029247885905,7.547636608773257 51.991107113209644,7.547426461813879 51.99111316411038,7.547211370505436 51.991127795533146,7.546953188532634 51.991176457966766,7.546698642295822 51.9912568486469,7.546222099282397 51.99127689245641,7.5459341170782395 51.9913050560308,7.5460796211260766 51.99214697287524,7.5445835555059135 51.99226897079867,7.54464093947116 51.99252360020519,7.543815405814528 51.9932411746712,7.5432445841654605 51.99304138312055,7.542871849463902 51.99290949474904,7.542619941921402 51.992866378159285,7.542396179897857 51.992863610636554,7.542106110572768 51.99290729735564,7.541737248410146 51.99301910331404,7.5405409064179185 51.99339704038409,7.540356116947951 51.993463846672235,7.540383552631697 51.993526008055625,7.540422173175677 51.993606491013,7.540418747640765 51.99371190917081,7.540399308915504 51.99376621712021,7.54033158108663 51.993856292467306,7.540081050922257 51.99413320470578,7.539777667601769 51.99446811195726,7.541453154721481 51.99504473789786,7.541609234710635 51.99509824524051,7.541861844228032 51.99489506655478,7.542642625658907 51.995151143316086,7.543203304645763 51.995324266041806,7.543672208568488 51.99546473183224,7.544223521821439 51.99564059858033,7.544829311288668 51.99585438471626,7.545297297456988 51.99602348636441,7.545806957051975 51.9961959663563,7.54631170176417 51.99637697948018,7.546367987572999 51.9964372529792,7.548359737692806 51.997124225946486,7.549114879176481 51.997411802531595,7.5496018649916135 51.99770817304581,7.5496051409483 51.997809038632305,7.551036937124748 51.99818558738842,7.551063972769764 51.998157688012554,7.551860933026624 51.998365100731164,7.55240682246189 51.99845649878072,7.5524150792139455 51.9986058221385,7.552506305980263 51.99890752714845,7.55264355263449 51.99929037721605,7.552618836890074 51.99936315131947))"
350,Kinderhaus,"POLYGON ((7.591658512068131 51.99619029552306,7.591414630820064 51.99617177121037,7.591166242711735 51.99616137395286,7.589943272712409 51.996144275023354,7.589785329177288 51.996830783226116,7.5897492395352 51.99683035107767,7.58934047327043 51.9973281393136,7.589411876739973 51.99735375567565,7.589083492901907 51.99771878778383,7.588865477961966 51.99763346814526,7.588287721507877 51.998205809429976,7.5884359335889044 51.99828304897648,7.588379168555109 51.99830217984174,7.588565978417862 51.99848518179177,7.588634584780392 51.998599910694466,7.588518565326625 51.99871738229123,7.588293801390893 51.99884840809671,7.587452986592299 52.00007150812554,7.587082244134572 52.00063412632893,7.587806844182522 52.00081119481783,7.5878789881343485 52.00068576989756,7.58817034717091 52.00073383255485,7.590317786640113 52.00133897216773,7.590257728813034 52.0014250160802,7.592329263916352 52.00200880632621,7.592412096091731 52.001903440847165,7.593203567969455 52.0021664993493,7.59331222206382 52.00207577070469,7.593702632543325 52.001749768364746,7.593669177375827 52.00168937507886,7.592640274918685 52.001671643094575,7.592456400422155 52.00161763430525,7.5929199736674535 52.001012912040856,7.59259725670483 52.00095689483555,7.592344600034426 52.00090153878549,7.592169030420603 52.00086673146319,7.591825636108764 52.00077539857594,7.591517769468572 52.00067794726392,7.591245155164045 52.00058309727642,7.591050038112588 52.00049571427755,7.590900424349586 52.00042196086979,7.590682911480165 52.000260163553406,7.590559937251156 52.00012566552241,7.590481645452607 52.00003095591269,7.590424820146313 51.999927779504745,7.590385859957113 51.99981827459168,7.590375906522251 51.99968512811354,7.590370578728051 51.99951714413284,7.590379721346395 51.99933842920986,7.5903883160087045 51.99917715415525,7.590420220926697 51.99894855372315,7.590471606697359 51.99877470439492,7.5905284809432825 51.998651080458224,7.5905881358425065 51.99855147670517,7.590669800625947 51.9984259689014,7.59081626581842 51.99826197991145,7.5908745532932365 51.99820597618572,7.5910053179870065 51.99809195794321,7.591103272035273 51.998010258554885,7.591265342685856 51.99791187959749,7.591434406491482 51.99781576452447,7.591559928399243 51.997756201837056,7.591828424492551 51.99764382883554,7.592224946221998 51.99750463326641,7.592595377407138 51.99740874021871,7.59280531455651 51.997361088197195,7.5928656184382675 51.997351362259685,7.592897324234197 51.996221670158924,7.592231584582214 51.996216197648344,7.591878859372415 51.9962070327529,7.591658512068131 51.99619029552306))"
330,Kinderhaus,"POLYGON ((7.592897324234197 51.996221670158924,7.5928656184382675 51.997351362259685,7.593082284124284 51.9973164170648,7.5933838371367575 51.99727639983267,7.5936425337692794 51.99725113693957,7.593908155725889 51.997230317095024,7.594240603911874 51.99721901709294,7.594424383978691 51.99721684606764,7.5947410757642375 51.99721329440179,7.595155970703711 51.99721158771203,7.595441352581905 51.997216651393735,7.595934183503401 51.997220859952904,7.595952378270336 51.99672114133863,7.596255669191568 51.996712386052906,7.597061692668968 51.99672198235907,7.59775906695613 51.996613895734804,7.597774590079259 51.996245120511546,7.598460225784585 51.99625575103068,7.598902102437267 51.99623624136997,7.599265104591603 51.996211325836384,7.5996794948616495 51.99617170749587,7.599889982383363 51.99616219455137,7.60000214652234 51.99618515097575,7.600116855721353 51.996251387193695,7.600232835185711 51.99635167523887,7.600450423246003 51.996251126498166,7.600592603046449 51.996169693078365,7.600693309618385 51.99608656275157,7.601240140589947 51.99563516002738,7.6013610857625675 51.99553385108936,7.601170840156888 51.99550358181862,7.598336244002438 51.99511331079685,7.59829942199999 51.9948835585022,7.598292286089653 51.99467402828869,7.598285380144815 51.99405448672933,7.5962510534010494 51.99477985126738,7.5957086260791495 51.99497324935019,7.595239264807789 51.99582992350737,7.59412236832607 51.99578808532465,7.594111754602858 51.996127204241645,7.593991224252921 51.99613319602386,7.5937964974188406 51.99620268446409,7.593663390680387 51.99622585978656,7.592897324234197 51.996221670158924))"
350,Kinderhaus,"POLYGON ((7.596238903156282 52.0024508366107,7.59952286025335 52.0028403773474,7.601853803956154 52.00312469582578,7.601884766323807 52.00110246748421,7.601906283018597 52.000960907351086,7.601946325546045 52.00085272725428,7.601971068923586 52.00076473961224,7.60200574799573 52.00047540494206,7.6020185029360645 52.00030125680949,7.602035280746189 52.00023354597451,7.60332581325867 52.00024658141272,7.603439743372349 52.000238876986934,7.603664711323865 52.00019853307114,7.603761155250749 52.000163457389604,7.603817835071791 52.00010980206096,7.603698119504673 52.00006763827219,7.603543433958543 51.99997073336528,7.603425971311726 51.99985615965722,7.6033419527332144 51.999718811972976,7.603314957898032 51.999497443171535,7.603348099341281 51.9984314274434,7.602084826392601 51.99843736145951,7.6019448108965 51.99842674112385,7.60190618733778 51.99795730200941,7.600320745385447 51.99796205991468,7.600179325536715 51.99846483171476,7.598169629020305 51.99859079467937,7.598016318229665 51.99859127970416,7.5978937735025465 51.99856443574907,7.597797533165395 51.998533289453036,7.5974301608983055 51.99880355111683,7.596993385964192 51.99916991624299,7.596142577550536 51.999857674159784,7.59557439720344 52.00032289943884,7.595230072684607 52.00060011708186,7.5951031823924735 52.00070328294527,7.594980189239141 52.00076794903465,7.595381371332099 52.000958833624296,7.596215367237775 52.001358242245985,7.596405617562513 52.00136855808446,7.597602587855572 52.000406412859455,7.598117166970737 52.00060304958824,7.599435413297558 52.000711515847755,7.599384378452967 52.00133889790833,7.599353303739954 52.00199888793617,7.598762751540159 52.00198755373309,7.597997980896143 52.00195688074228,7.5975413931045725 52.00191044747845,7.597256879631503 52.00184016257676,7.5968054169351324 52.001629776995635,7.596588683899536 52.00152848927326,7.596270396265485 52.00152750874375,7.596238903156282 52.0024508366107))"
430,Hiltrup,"POLYGON ((7.626070929083409 51.8946836452457,7.623286426510299 51.89452301303364,7.623223060239593 51.89457576347214,7.622461010132383 51.89457864353114,7.622529905047705 51.89510929448286,7.62256507512793 51.89587320981162,7.6226028886305635 51.89647696642043,7.623089945006153 51.896463674387775,7.623300643801605 51.896455287571676,7.623298077395094 51.89653934105045,7.623336527222841 51.89657233917645,7.623528785872321 51.896593572580855,7.6255570555206225 51.896790853237036,7.625559700494052 51.89670408784346,7.626217691799536 51.89669300323031,7.6261806225013835 51.89618242184678,7.6261099365759195 51.89514510061255,7.626070929083409 51.8946836452457))"
360,Gievenbeck,"POLYGON ((7.5710740450632805 51.97159206220724,7.569880436948765 51.97175903266177,7.569211590235127 51.97210839442252,7.5688224741031975 51.972623642270236,7.568557488726259 51.97299717857262,7.567565668129864 51.972708576937485,7.566986083333148 51.97314567289628,7.567641231733531 51.97336487688145,7.568305846869069 51.97356252595354,7.568762226595819 51.97368993568145,7.569353805078763 51.97384065002624,7.567955718823014 51.97497357367182,7.568616021413094 51.975272277014746,7.568951643073138 51.9753668692989,7.567290999673628 51.976726316597954,7.566798198649625 51.97712297544298,7.5661340434568105 51.97718668917133,7.565735700582276 51.97715687243644,7.565535894199475 51.97708264991285,7.565363539241994 51.97694009391447,7.565068591288973 51.97682153605798,7.564439282722237 51.97676028768011,7.5634869504521935 51.976826714794036,7.563556358169119 51.977027325032054,7.563529470981252 51.977236125356846,7.563149246502649 51.977272066593954,7.562849558026302 51.977318353508224,7.562870606980532 51.97737515904247,7.563207066458209 51.97758266113719,7.563400628607532 51.97768107006609,7.564553978123701 51.97809344689916,7.566060246385626 51.978628752922155,7.566404631840019 51.97873181500305,7.566540826172761 51.978764545555485,7.568146778886587 51.97904395915874,7.56823395069865 51.97889246832129,7.5694173340958635 51.97793221501057,7.56942982861352 51.97753969534169,7.569697466200251 51.97761074196631,7.5705669257988415 51.977601511987096,7.571487222456391 51.97757594035035,7.57176849613347 51.977505899418915,7.572112894711288 51.97732079718504,7.573020100072309 51.976698985743155,7.573960903563953 51.97602672370985,7.574283576799935 51.97574376822499,7.574612878358034 51.97589429122741,7.575802005613498 51.97644250504222,7.576021027027685 51.976263420743344,7.576414392109339 51.976270446648776,7.577202055134589 51.976254972675264,7.578143624399425 51.97626359555744,7.5782646587567895 51.975225892553475,7.577628538222979 51.97506324600842,7.577079262769096 51.97550430181646,7.576090845169554 51.975043768168874,7.575036934828252 51.9745585489695,7.575854874628362 51.97392091888396,7.576003874652383 51.97376745194893,7.576072518206655 51.973610944111975,7.576032607143693 51.97328336441557,7.575836670953823 51.97237837515725,7.57498605860372 51.97256476478585,7.574091226971162 51.97287689720264,7.573553055779687 51.97261781709326,7.572606821793855 51.9722254376615,7.5710740450632805 51.97159206220724))"
380,Kinderhaus,"POLYGON ((7.594835218414793 51.99135539975861,7.594633090276006 51.9915411726056,7.594384105728648 51.99166953721976,7.591766947640913 51.99269294420247,7.5915565649247805 51.99278799372415,7.591536621621126 51.992901119805836,7.591748212592763 51.99305547643902,7.591890902175393 51.99321103468446,7.591761599793877 51.99325605081152,7.591788500774939 51.993339371458106,7.591860809679376 51.993334162228756,7.591910510803211 51.99352707201343,7.592028964255265 51.99351431564118,7.592639760230965 51.99348719556577,7.59309528345714 51.99349668183695,7.593279615989894 51.99347458843967,7.593297193479408 51.99354160254815,7.5934913584365935 51.99351962806211,7.593473972400509 51.9934465424301,7.593793019160235 51.993415934302774,7.593762076107825 51.99335685763105,7.594069974475558 51.99326336041623,7.5943404411212505 51.99352773080849,7.594955108753897 51.993271890034436,7.595635103376931 51.99396828228134,7.595074206370652 51.99418225569898,7.595045211173842 51.994165714992526,7.593596253453861 51.994778018069674,7.593646740177885 51.99484137527933,7.593790773509306 51.99495443569299,7.593964817407563 51.99505165671863,7.594222462850079 51.99509724209727,7.594435987123662 51.99508561717961,7.594628211479328 51.995021105265785,7.595778146844769 51.994532763430335,7.5962510534010494 51.99477985126738,7.598285380144815 51.99405448672933,7.598292286089653 51.99467402828869,7.59829942199999 51.9948835585022,7.598336244002438 51.99511331079685,7.601170840156888 51.99550358181862,7.6013610857625675 51.99553385108936,7.601513548256861 51.995406140171944,7.6015955020861155 51.995283832937254,7.601630005231692 51.9950917340254,7.601648016635453 51.994991443251166,7.601211815728107 51.99473433079581,7.600861684477215 51.9945368384969,7.6002315779522895 51.99420952285076,7.599542001124867 51.993908653067265,7.599393184764429 51.993838819482036,7.599153174859557 51.99365350787103,7.598965203403448 51.99339583079513,7.598646899209392 51.9934266173121,7.598344754320512 51.99323864492972,7.59775716177323 51.99282640411712,7.597390978060289 51.9924974612992,7.597153496309391 51.99233138260923,7.59656232743329 51.99203433057398,7.595948137273854 51.99177733477081,7.594835218414793 51.99135539975861))"
