Stichtag;Raum;Anteil der Einpersonenhaushalte an allen Haushalten;Anteil der Senioren-Einpersonenhaushalte an alle Einpersonenhaushalte;Anteil der Haushalte mit Kindern an alle Haushalte;Anteil der Haushalte mit überwiegender Migrationsvorgeschichte an allen Haushalten;Durchschnittliche Haushaltegröße
31.12.2014;1 Mitte;65,05;8,3;10,75;16,04;1,54
31.12.2014;5 West;47,37;9,35;19,53;24,49;1,97
31.12.2014;6 Nord;41,61;16,71;23;36,49;2,09
31.12.2014;7 Ost;40,56;19,22;21,66;16,82;2,07
31.12.2014;8 Südost;41,03;16,74;22,35;23,19;2,07
31.12.2014;9 Hiltrup;39,44;16,82;22,29;25,88;2,09
31.12.2015;1 Mitte;65,13;8,19;10,83;16,41;1,54
31.12.2015;5 West;47,99;9,42;19,39;25,53;1,96
31.12.2015;6 Nord;42,09;17,17;22,68;36,86;2,08
31.12.2015;7 Ost;40,67;19,77;21,56;17,66;2,07
31.12.2015;8 Südost;40,82;16,87;22,69;24,72;2,09
31.12.2015;9 Hiltrup;40,04;17,58;22,03;26,46;2,08
31.12.2016;1 Mitte;64,58;8,26;10,86;16,55;1,55
31.12.2016;5 West;48,5;9,84;19,12;25,47;1,95
31.12.2016;6 Nord;42,06;17,22;22,7;37,58;2,08
31.12.2016;7 Ost;40,99;19,57;21,41;18,84;2,07
31.12.2016;8 Südost;41,14;17,61;22,46;24,73;2,08
31.12.2016;9 Hiltrup;40,33;17,71;21,97;26,8;2,08
31.12.2017;1 Mitte;64,57;8,05;10,74;16,51;1,55
31.12.2017;5 West;48,49;10,25;19,01;25,09;1,95
31.12.2017;6 Nord;42,65;17,49;22,86;37,8;2,08
31.12.2017;7 Ost;40,97;19,91;21,19;18,93;2,07
31.12.2017;8 Südost;41,69;16,8;22,09;26,4;2,08
31.12.2017;9 Hiltrup;40,88;18,16;21,5;27,01;2,06
31.12.2018;1 Mitte;64,27;7,87;10,85;16,77;1,56
31.12.2018;5 West;48,48;10,52;18,91;25,01;1,95
31.12.2018;6 Nord;42,84;17,61;23,23;38,1;2,09
31.12.2018;7 Ost;41,01;19,92;21,16;19,49;2,07
31.12.2018;8 Südost;41,64;17,13;21,95;25,46;2,08
