Name,Long,Lat
Geiststraße,7.6189519,51.9523452
Goldene Brücke / Aasee,7.6162524,51.9576319
Torminbrücke,7.6041417,51.9512854
Albertstraße,7.6545083,51.966593
Schleuse,7.6582145,51.9755573
Westfälisches Pferdezentrum,7.6719531,51.9994201
Sudmühle,7.6804572,51.9971974
Freibad Sudmühle,7.6908601,51.9975553
Sudmühle,7.6816599,51.9970474
Jägerhäuschen,7.6625205,51.9862678
Kötterstraße,7.7014571,51.9846344
Johann-Krane-Weg,7.5974677,51.9754835
Wilhelmstraße,7.6116307,51.967413
Wilhelmstraße,7.6128485,51.9672224
Tibusstraße,7.626973,51.9653033
Münzstraße,7.6196646,51.9667025
Altstadt / Bült,7.6306032,51.9639701
Hohenzollernring / Finanzgericht,7.6462617,51.9632754
Hohenzollernring / Finanzgericht,7.648272,51.9641579
Elbinger Straße,7.6534098,51.9943524
Gewerbegebiet Kleimannbrücke,7.662923,51.9945998
Landwirtschaftskammer,7.6326692,51.9869419
Rumphorstweg,7.6421071,51.9771146
Meerwiese / Begegnungszentrum,7.6477519,51.987495
Josefine-Mauser-Straße,7.6481982,51.9897299
Mecklenbecker Straße,7.5800055,51.9347155
Bonhoefferstraße,7.6009585,51.9449409
Huberstraße,7.603352,51.9479757
Huberstraße,7.6046844,51.9487356
Erpho-Kirche,7.646822,51.9679393
Hohenzollernring / Finanzgericht,7.6467702,51.9644726
P+R Coesfelder Kreuz,7.6002234,51.9649639
P+R Coesfelder Kreuz,7.6002124,51.9648502
Hüfferstiftung,7.6078283,51.9611955
Coerheide,7.6420654,51.9964754
Hansa-Berufskolleg,7.6464366,51.9564563
Aegidiitor,7.6184277,51.9574348
Aegidiimarkt / LWL-Museum,7.6236727,51.9607985
Königsberger Straße,7.6492456,51.9929819
Cheruskerring,7.6223163,51.9747173
Dreifaltigkeitskirche,7.6128155,51.9743584
Sankt Joseph-Kirche,7.6247336,51.9501932
Mondstraße,7.6747085,51.9496733
Sankt Margareta-Kirche,7.6700045,51.9512582
Ermlandweg,7.6114415,51.9878961
Jugendgästehaus Aasee,7.6141464,51.9532711
Institut der Feuerwehr,7.6599718,51.9539824
Am Rohrbusch,7.5572855,51.9500355
Dieckmannstraße,7.5735373,51.9578801
Ackermann,7.5519844,51.9527174
Hochstraße,7.6214934,51.9501995
Dülmener Straße,7.5236687,51.9248945
An den Loddenbüschen,7.6465906,51.928352
Getterbach,7.598654,51.917597
Mondstraße,7.6759506,51.9492908
Altehof,7.6836089,51.92866
Agathastraße,7.6879263,51.9282034
Erbdrostenweg,7.6644907,51.9312729
An den Loddenbüschen,7.6461529,51.9283542
Trauttmansdorffstraße,7.6370786,51.9259861
Robert-Bosch-Straße,7.6333261,51.9351838
Westfalen AG,7.6346425,51.9462837
Stadtwerke / Hafen,7.6371644,51.9507451
Augustastraße,7.6311933,51.9477828
Timmerscheidtstraße,7.6286995,51.9439591
Erikaweg / WDR,7.6759618,51.9594009
Platz der Weißen Rose,7.608863,51.9507003
Siebenbürgenweg,7.6079667,51.9338545
Inselbogen / Sparkassenzentrale,7.6099377,51.9395102
An der Konradkirche,7.6762795,51.963903
Adlerhorst,7.6770584,51.9664522
Krummer Timpen,7.6197294,51.9615153
Krummer Timpen,7.6188,51.9617598
Twenteweg,7.5714522,51.9739661
Südlohnweg,7.561239,51.9762307
Pumpenhaus / Lublinring,7.6360532,51.9720035
Hauptbahnhof,7.6345662,51.9574983
Niedersachsenring,7.640714,51.9718591
Zumsandestraße,7.6414326,51.961729
Kreuzschanze,7.623206,51.9674698
Mauritz Friedhof,7.6570173,51.9614145
Elbestraße,7.6556457,51.9699336
Kärntner Straße,7.6527863,51.9702566
Kärntner Straße,7.6512591,51.9704242
Erpho-Kirche,7.6480961,51.9680642
Pötterhoek,7.6533631,51.9724095
Pötterhoek,7.6536949,51.9723713
Andreas-Hofer-Straße,7.6530447,51.9587831
Fürstenbergschule,7.6526961,51.9563478
Danziger Freiheit,7.6577065,51.966928
Abzweig Sprakel,7.6203187,52.0313552
Timmerscheidtstraße,7.6294781,51.9444914
Hansa-Berufskolleg,7.6470528,51.9552586
Geiststraße,7.6197718,51.9523738
Toppheide,7.5698577,51.9753494
Asbeckweg,7.5697854,51.9712815
Zentralfriedhof,7.6122881,51.9597464
Ahausweg,7.5732515,51.9689516
Gescherweg,7.5766419,51.9714899
Weitkampweg,7.5605371,51.9731389
Sankt Michael-Kirche,7.5789967,51.9680212
Sentruper Höhe,7.5940405,51.9567553
Mausbachstraße,7.5933561,51.9556544
Apffelstaedtstraße,7.6021526,51.9679588
Nevinghoff,7.6319204,51.9837552
Herz-Jesu-Krankenhaus,7.6328054,51.9094979
Drachterstraße,7.6239197,51.9251984
Berg Fidel,7.6170006,51.925361
Ripenhorst,7.5735363,51.9214007
Heroldstraße,7.572989,51.9242561
Kanalstraße,7.6325307,51.9724902
Drostenhof,7.7271377,51.9154538
Rubensstraße,7.6746447,51.9064198
Marktallee,7.6448067,51.9042198
Langestraße,7.6318571,51.899888
Linckensstraße,7.6250021,51.9083631
Meesenstiege,7.6253174,51.9040247
Sternkamp,7.6225644,51.8960194
Roxel Mitte,7.5362357,51.9545739
Gymnasium St. Mauritz,7.6860559,51.9825178
Verth,7.7277931,52.0105931
Handorf Kaserne West,7.7233219,52.0060789
Haus Münsterland,7.7164522,51.9993092
Christoph-Bernhard-Graben,7.5754395,51.92987
Angelmodde Kirche,7.7008331,51.9219776
Am Berler Kamp,7.7205788,51.9158444
Wolbeck Markt,7.7249005,51.9159394
Friedenspark,7.6529145,51.9342948
Sankt Mauritz,7.6770438,51.9708079
THEATER Münster,7.6289012,51.965111
Ramertsweg,7.5677411,51.9557686
An der Konradkirche,7.6759629,51.9628697
Middelfeld,7.7065232,51.9924712
Am Hof zur Linde,7.7014656,51.9906293
Torminbrücke,7.6042117,51.9510079
Stefan-Zweig-Straße,7.5532819,51.9915398
Von-Schonebeck-Ring,7.552448,51.9987112
Goesenweg,7.5504223,51.9972198
Alhardstraße,7.5484067,51.9952079
Isolde-Kurz-Straße,7.5491888,51.9941126
Hohe Geest / Hiltruper Museum,7.6416146,51.9043984
Gewerbegebiet Uhlenkotten,7.5685851,51.9950292
ehemalige Post,7.5629905,51.9976982
Haus Uhlenkotten,7.5746056,51.9921335
Frauenburgstraße,7.669481,51.9608395
Maikottenweg,7.6677187,51.9569136
