Name,Long,Lat
Schwarzes Schaf,7.6292678,51.9634352
Rote Liebe,7.6214338,51.9660125
Himmel & Hölle,7.6215216,51.9662741
Bar Zillus,7.6183022,51.9662296
Mokel Bar,7.6217994,51.9651182
Bullenkopp,7.6294008,51.9635285
Cuba Nova,7.6332148,51.9576614
Hot Jazz Club,7.643549,51.9518906
Plan B,7.6379276,51.9531184
Pension Schmidt,7.6331627,51.9616281
Cafe & Bar Celona,7.629755,51.9600928
Fusion,7.6391288,51.9441482
Club Favela,7.6392079,51.9444187
Triptychon,7.6383533,51.9440161
Kittys Trinksalon,7.6417229,51.9529449
Pier House,7.6414107,51.9521796
Watusi Bar,7.6413732,51.9530546
Grille,7.6370963,51.9548236
minimi Lounge,7.6371827,51.9585845
Gassi,7.6322332,51.9616495
Gleis 22,7.631386,51.9536794
Butts Bierstube,7.6318392,51.9540579
Atelier Bar,7.6301798,51.9639314
Metro,7.6331842,51.9621241
Mocambo Bar,7.6306202,51.964771
Alter Ego,7.6238401,51.9657501
Walk of Fame,7.6358995,51.9597709
Hafentor,7.6404928,51.952178
Haifisch-Bar,7.6327298,51.9625915
Brödekers Bar,7.6312597,51.9648778
FiFa-Station,7.6270255,51.9444455
Joducus,7.6195011,51.9694473
Tide,7.610534,51.9772036
Hafenbar,7.643273,51.9521777
Sputnik-Halle,7.6382269,51.9438231
Peters Weinbar,7.64016,51.9615107
KCM Schwulen- und Lesbenzentrum,7.6386827,51.9446182
Bar Madame,7.6339696,51.9579134
Schoppenstecher,7.631551,51.9649192
Zwanzig20,7.6253233,51.9526057
Grand Café,7.630904,51.9646116
Dejavu,7.6419084,51.953048
viva CAFE,7.6003588,51.9655402
Wohnzimmer e.V.,7.6457374,51.943358
Laterne,7.6384292,51.9574794
Clubschiene,7.6341242,51.949719
Pasta e Basta,7.642249,51.952104
Der Stur,7.6114446,51.9770128
Früh bis spät,7.6330565,51.9617972
Gazelle,7.6358319,51.959591
Babel,7.6369293,51.9530511
MS Günther,7.6445935,51.9515909
Heile Welt,7.6329282,51.9651416
leo:16,7.6324864,51.9560274
Elephant Lounge,7.6286687,51.9637336
Shooter Stars,7.63358,51.961854
Sausalitos,7.6331535,51.961869
Amp,7.6399639,51.9482998
Alexianer Waschküche,7.6345343,51.9588978
Heaven Beachhouse,7.6393926,51.9451842
Coconut Beach,7.6398513,51.9448849
