Name,Long,Lat
REWE,7.646185,51.9630026
Lidl,7.5791139,51.9667441
Rewe,7.6323598,51.9615961
Edeka,7.6763564,51.9612243
Edeka,7.6684925,51.9512884
REWE,7.6231069,51.968093
REWE,7.612256,51.9691453
Aldi,7.6342578,51.9832209
Netto City,7.6449029,51.9803564
ALDI,7.6028733,51.9946795
ALDI,7.6480544,51.9943958
Edeka Wievel,7.6413334,51.9713115
REWE,7.6241568,51.9476759
Penny,7.6736995,51.904085
Rewe Kaufpark Getränkemarkt,7.5645194,51.973131
Netto,7.6169925,51.9494323
Aldi,7.5636846,51.966704
Lidl,7.6314486,51.9329723
Rewe Kaufpark,7.5647083,51.9732049
Edeka Center,7.6238094,51.9026139
Netto,7.6246544,51.9028261
Edeka,7.5198966,51.924491
Penny,7.6426113,51.9531009
Studis,7.5911388,51.9750208
REWE Ihr Kaufpark,7.6198942,51.9519889
Aldi Nord,7.6300944,51.9433152
SuperBioMarkt,7.6225376,51.9452654
K+K,7.6399565,51.9063924
SuperBioMarkt,7.6450153,51.9040855
Lidl,7.6103299,51.9738055
Persian Market,7.6220868,51.9555156
Netto,7.5232121,51.9252908
Edeka,7.5798762,51.9312478
Netto,7.5349121,51.9534073
K&K,7.6062988,51.8826758
Lidl,7.5802713,51.9296499
Rewe Ihr Kaufpark,7.6103051,51.9765968
Edeka Rotthowe,7.6235981,51.9606572
Fodi XL,7.6424765,51.9377285
Superbiomarkt,7.6118913,51.9716407
EDEKA,7.6353208,51.9722091
Superbiomarkt,7.5785646,51.9677827
Woolworth,7.6029124,51.9955769
Denns' Biomarkt,7.6257117,51.9524815
Mehr Markt,7.6048895,51.9607035
Netto,7.6376272,51.958933
SuperBioMarkt,7.6478251,51.9642173
Aldi Nord,7.6350305,51.937075
Aldi,7.6429202,51.9667891
Aldi,7.6573296,51.9757547
Rewe,7.6584335,51.9679315
Netto,7.656715,51.9683287
Rewe,7.6110526,51.9724201
Aldi,7.6111126,51.9727291
K+K,7.5327392,51.9534552
Aldi,7.6400518,51.8995663
K+K,7.6402244,51.8993005
Netto,7.6657057,51.9516375
SuperBioMarkt,7.6268091,51.9604132
Rewe,7.5810854,51.9670794
Edeka,7.6202732,52.038311
Lidl,7.6244924,51.9427015
Edeka Stroetmann,7.6305473,51.9440275
MS2,7.6483204,51.903953
Edeka Nientied,7.7029805,51.987806
Edeka Rotthowe,7.6990308,51.9892287
Slickertann Naturkost,7.6513733,51.9648634
Aldi,7.6531189,51.9040873
Ural,7.6387132,51.9028664
Netto,7.6618662,51.905517
Stroetmann GmbH Großhandel,7.5657863,51.9220031
KODI,7.6218566,51.9586432
Edeka Wiewel,7.6523662,51.9048066
REWE to go,7.6274068,51.9317774
denn's Biomarkt,7.6117968,51.9766495
Kodi,7.6520473,51.9048151
Naturbaustoffe Linnemann,7.6448384,51.962322
Edeka,7.6219727,51.9587224
